driverId,forename,surname,difference,teammateId,teammateName,age,year,circuit
37,Pedro,de la Rosa,1.894352941176484,8,raikkonen,35,2006,German Grand Prix
14,David,Coulthard,-0.5071708860759621,32,klien,35,2006,German Grand Prix
17,Mark,Webber,-0.1826307692307709,3,rosberg,30,2006,German Grand Prix
32,Christian,Klien,0.1337021276595882,14,coulthard,23,2006,German Grand Prix
15,Jarno,Trulli,0.5203600000000104,23,ralf_schumacher,32,2006,German Grand Prix
35,Jacques,Villeneuve,-0.07493506493507651,2,heidfeld,35,2006,German Grand Prix
3,Nico,Rosberg,0.4245583756345189,17,webber,21,2006,German Grand Prix
2,Nick,Heidfeld,0.09544852941177553,35,villeneuve,29,2006,German Grand Prix
27,Christijan,Albers,-0.513170731707312,33,monteiro,27,2006,German Grand Prix
33,Tiago,Monteiro,0.6853666666666602,27,albers,30,2006,German Grand Prix
8,Kimi,Räikkönen,-0.5407090301003351,37,rosa,27,2006,Hungarian Grand Prix
13,Felipe,Massa,-1.4548565573770442,30,michael_schumacher,25,2006,Hungarian Grand Prix
22,Rubens,Barrichello,0.023643192488258313,18,button,34,2006,Hungarian Grand Prix
18,Jenson,Button,0.02092430278884947,22,barrichello,26,2006,Hungarian Grand Prix
37,Pedro,de la Rosa,0.5463529411764707,8,raikkonen,35,2006,Hungarian Grand Prix
17,Mark,Webber,-0.645630769230779,3,rosberg,30,2006,Hungarian Grand Prix
23,Ralf,Schumacher,-0.4093267326732707,15,trulli,31,2006,Hungarian Grand Prix
21,Giancarlo,Fisichella,-1.1404893617021368,4,alonso,33,2006,Hungarian Grand Prix
15,Jarno,Trulli,0.4863600000000043,23,ralf_schumacher,32,2006,Hungarian Grand Prix
9,Robert,Kubica,-0.34107291666666956,2,heidfeld,22,2006,Hungarian Grand Prix
2,Nick,Heidfeld,0.3944485294117679,9,kubica,29,2006,Hungarian Grand Prix
30,Michael,Schumacher,1.7012947976878556,13,massa,37,2006,Hungarian Grand Prix
14,David,Coulthard,-0.5091708860759432,32,klien,35,2006,Hungarian Grand Prix
32,Christian,Klien,0.13570212765956932,14,coulthard,23,2006,Hungarian Grand Prix
4,Fernando,Alonso,1.4777617449664513,21,fisichella,25,2006,Hungarian Grand Prix
33,Tiago,Monteiro,-1.1946333333333352,27,albers,30,2006,Hungarian Grand Prix
24,Vitantonio,Liuzzi,-0.2818133333333278,26,speed,26,2006,Hungarian Grand Prix
3,Nico,Rosberg,0.887558375634527,17,webber,21,2006,Hungarian Grand Prix
26,Scott,Speed,-0.023230769230775217,24,liuzzi,23,2006,Hungarian Grand Prix
11,Takuma,Sato,-1.199215384615391,29,yamamoto,29,2006,Hungarian Grand Prix
27,Christijan,Albers,1.3668292682926835,33,monteiro,27,2006,Hungarian Grand Prix
29,Sakon,Yamamoto,0.46005555555556066,11,sato,24,2006,Hungarian Grand Prix
13,Felipe,Massa,-0.46085655737705866,30,michael_schumacher,25,2006,Turkish Grand Prix
30,Michael,Schumacher,0.7072947976878702,13,massa,37,2006,Turkish Grand Prix
4,Fernando,Alonso,0.024761744966448285,21,fisichella,25,2006,Turkish Grand Prix
21,Giancarlo,Fisichella,0.31251063829786624,4,alonso,33,2006,Turkish Grand Prix
23,Ralf,Schumacher,-0.9473267326732674,15,trulli,31,2006,Turkish Grand Prix
2,Nick,Heidfeld,-0.35455147058824155,9,kubica,29,2006,Turkish Grand Prix
